제목,링크,작성일자
"원전업계,윤석열지지 선언 “현 정책은 외눈박이 정책”",https://biz.chosun.com/policy/politics/election2022/2022/02/26/C7JXF2BFNFAL3HNIKR3SGE773Q/,2022.02.26
윤석열“극초음속 미사일 대응 위해 美 MD 참여 필요”,https://biz.chosun.com/policy/politics/election2022/2022/02/25/UBREVNQLOZCFFC6EHVQ7Q2TEQI/,2022.02.25
[대선영상]윤석열“우리당이 이재명 민주당보다 DJ 정신에 더 가까워”,https://www.chosun.com/politics/election2022/2022/02/23/TQ6AP256QZHDZJMMOIT5IOQFPQ/,2022.02.23
"윤석열, 검찰총장 사퇴 1주년에 부산에서 사전투표 “정권교체”",https://biz.chosun.com/policy/politics/election2022/2022/03/04/7KEVBOUHHNF4HE7NQFJXK6WEVI/,2022.03.04
"윤석열“민주당 해온 짓, 잘 알아…전체주의자들 선전선동”",https://biz.chosun.com/policy/politics/election2022/2022/02/17/MDSLW2OHNFCZ7LQLDX22Z32EQE/,2022.02.17
"윤석열, 이번엔 ‘홍수환 글러브’ 끼고 어퍼컷 세리머니",https://www.chosun.com/politics/election2022/2022/03/01/T2PGRIT755ASPF6MMYELBIVPXQ/,2022.03.01
"윤석열“이재명, 도망갈 데 없으니 갑자기 특검 얘기”",https://biz.chosun.com/policy/politics/election2022/2022/03/03/TKPS6WWQ5BAHVCDNENMVMPI42Q/,2022.03.03
윤석열“시민단체 불법이익 환수해 자영업자 지원에 쓰겠다”,https://biz.chosun.com/policy/politics/election2022/2022/03/01/MBZUBWNF2BAJTJFOD6HW62NORI/,2022.03.01
"윤석열“文, 5년간의 탈원전 뒤집어…잘못된 판단에 허송세월”",https://biz.chosun.com/policy/politics/election2022/2022/02/26/3IJ5O4GVAVFN7LN4FVTQR6ZX7Q/,2022.02.26
"윤석열, 짐 로저스 만나 “北 비핵화 진전 있으면 대대적 투자”",https://biz.chosun.com/policy/politics/election2022/2022/02/24/GOVWZ65UFZGXZIJ45SQAHT5GKY/,2022.02.24
"윤석열“조카의 모녀살인에 ‘데이트 폭력’” 이재명 “변호, 페미니즘과 무관”",https://biz.chosun.com/policy/politics/election2022/2022/03/02/YCBHEBWBW5BRPBLQUZZIUBESEM/,2022.03.02
"윤석열“24시간 영업, 방역패스 완전 철폐” 공약",https://biz.chosun.com/policy/politics/2022/02/25/DNVDE62FYBDKRAJZCF6RWLZBO4/,2022.02.25
윤석열“정부 맡으면 ‘양식있는 민주당 정치인’과 멋지게 협치”,https://biz.chosun.com/policy/politics/election2022/2022/03/01/EB7HM23J4JHA3GLSGW4C7QTD6Q/,2022.03.01
윤석열“소방 영웅 순직에 슬픔”… ‘소방관의 기도’ 공유,https://www.chosun.com/politics/election2022/2022/03/08/GP7MIU7UIFBTFPLZH5QCVJPKWM/,2022.03.08
"윤석열, 안철수에 보낸 문자 공개 “힘 합치자, 진정성 믿어달라”",https://biz.chosun.com/policy/politics/election2022/2022/02/27/5FE5B3KXD5DZXDCX3TANQVYREM/,2022.02.27
윤석열“글로벌 세일즈 대통령 되겠다…혼밥 안 한다”,https://www.chosun.com/politics/election2022/2022/02/23/PJSH4ZLW6VCH3BT7DEAW3U6WLI/,2022.02.23
"이재명 40%윤석열40% 안철수 9%.. NBS, 투표전 마지막 발표",https://biz.chosun.com/policy/politics/electionpoll/2022/03/03/LA7ITSHU3ZFERCPGIXDQFFRBDY/,2022.03.03
"윤석열“우크라의 결사항전 응원, 이재명은 국제적 망신”",https://biz.chosun.com/policy/politics/election2022/2022/02/27/XSFPWBC5EVDWHNIVXBCFC5WZYU/,2022.02.27
윤석열공약 자료에 ‘오또케’ 표현 논란…野 “책임자 해촉”,https://biz.chosun.com/policy/politics/election2022/2022/02/15/YYVV62DY3REWDM4R3VLFK4RPMU/,2022.02.15
"윤석열, DJ 생가 찾아 “위대한 김대중 정신 우리가 잘 계승”",https://biz.chosun.com/policy/politics/election2022/2022/02/23/6I6GNSUDVFBZFAHHHPJLHSYVGM/,2022.02.23
"윤석열, 與 향해 “대선 열흘 남기고 무슨 정치개혁…민주당 정권교체”",https://biz.chosun.com/policy/politics/election2022/2022/02/28/RY4GOU7Q2ZHDJFW7A5I4TC2HRE/,2022.02.28
“文정권에서 금융시장 망가져”…황영기 등 금융인 110인윤석열지지선언,https://biz.chosun.com/policy/politics/election2022/2022/02/20/BCGXSP5355HC5JIDZIJKKUNVSU/,2022.02.20
"윤석열46.3%, 이재명 43.1%… D-7 오차범위 접전 [리얼미터]",https://www.chosun.com/politics/election2022/2022/03/02/GTQFTJORUFBJFGUDLF2OFEGXLM/,2022.03.02
부산서 尹 손잡은 안철수 “PK 메가시티 약속…윤석열과 함께”,https://biz.chosun.com/policy/politics/election2022/2022/03/08/DIICC6RKQRED7L6U57UVCUM7D4/,2022.03.08
이재명 45.0%윤석열44.9%…0.1%p차 초접전[미디어리서치],https://biz.chosun.com/policy/politics/election2022/2022/03/02/P2ESLLLQZZEQ5M3RVBZXFJENNM/,2022.03.02
"윤석열, 주한 우크라대사 만나 “EU 가입 강력 지지”",https://www.chosun.com/politics/politics_general/2022/03/02/FAEDE6XCNNDNNMJEHMGTTS54NE/,2022.03.02
이재명 45.0%윤석열44.9%… 0.1%p차 초박빙 [미디어리서치],https://www.chosun.com/politics/election2022/2022/03/02/4CQKGSUK3NFJTCUUCQ3VUNGZYQ/,2022.03.02
"윤석열, 인이어 몰래 끼고 토론? ‘지지직’ 소리 정체 밝혀졌다",https://www.chosun.com/politics/election2022/2022/02/22/NWIGYJ2RH5C5BNIQFS2BBVXH7E/,2022.02.22
"이준석 “윤석열, 8%p 이상 격차로 승리 예상”",https://www.chosun.com/politics/election2022/2022/03/05/RYBUGZN6RFFQJJXHE6KMQ2UPOQ/,2022.03.05
"[속보]윤석열“안철수, 아침 9시 단일화 결렬 통보…새벽까지 대리인 협상”",https://biz.chosun.com/policy/politics/election2022/2022/02/27/RLGODYKFBVCSHHT4H7LTKPQNDY/,2022.02.27
윤석열“정권 교체가 정치 개혁”,https://www.chosun.com/politics/election2022/2022/03/02/SAL3YVRO7NC45GFXQQFJZRPP6I/,2022.03.02
"윤석열, 선거운동 시작 “위대한 국민과 자랑스러운 나라 만들겠다”",https://biz.chosun.com/policy/politics/election2022/2022/02/15/LJDOZOLRDJCPLGTMBVUOHZHKDE/,2022.02.15
윤석열트위터에 등장한 김건희… 윤측 “공개 활동 여부는 미정”,https://www.chosun.com/politics/election2022/2022/02/25/5ABNVTLRR5CIHE5JN7WGLD6G6E/,2022.02.25
"“이재명 43.7%,윤석열42.2%, 안철수 5.8%” [KSOI]",https://www.chosun.com/politics/politics_general/2022/02/21/RWUKXFM7R5ESXM33SBKEYBKXOQ/,2022.02.21
"윤석열, 울진 산불에 “정부, 인근 원전 방어 만전 기해달라”",https://biz.chosun.com/policy/politics/election2022/2022/03/04/WUJIN4OEEVD4HI7VCQLNGSG4QQ/,2022.03.04
"이준석 “윤석열-이재명, 최대 10% 차이 날 수 있다”",https://biz.chosun.com/policy/politics/election2022/2022/03/08/PZOXTFUXWBCTLAM554SPTF7GPQ/,2022.03.08
윤석열44.4% 이재명 43.7% 안철수 7.2%[KSOI],https://biz.chosun.com/policy/politics/electionpoll/2022/03/04/6IV7P53XC5GW5NM2ZBWP7DA75A/,2022.03.04
재외 동포 1만명윤석열지지 선언,http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=14682&NewsNumb=20220214682,2022.02.18
이낙연 측근 정운현 “윤석열지지...이재명 삶과 행태 동의 어렵다”,https://www.chosun.com/politics/election2022/2022/02/21/FUMUTX5WFVBPNAEGBTGBZSQJNU/,2022.02.21
윤석열39.0% 이재명 38.3%… 대선 2주앞 0.7%p차 초접전 [갤럽],https://www.chosun.com/politics/politics_general/2022/02/23/ODB5YJ3QRRCVDGFJAYL67CSSCM/,2022.02.23
윤석열44.0% 이재명 39.5%…오차범위 내 尹 앞서[코리아정보리서치],https://biz.chosun.com/policy/politics/electionpoll/2022/02/23/HON22FVIMNDOFHFXX4YV5SGMKQ/,2022.02.23
"이재명 “페미니즘이 뭐냐”,윤석열“휴머니즘의 하나”",https://biz.chosun.com/policy/politics/election2022/2022/03/02/UF6Y4XDAXFAWJLHHMPSIQP7GBA/,2022.03.02
"목포 찾은윤석열“국민의힘, 이재명의 민주당보다 더 DJ정신 가깝다”",https://biz.chosun.com/policy/politics/election2022/2022/02/23/GAZWAREY2VAUDLTZWTUL47B57M/,2022.02.23
"윤석열“北 새해 9번째 미사일, ‘한반도 평화프로세스’ 실패 확인”",https://biz.chosun.com/policy/politics/election2022/2022/03/06/RXPXOKST7BHUFKRBBSZWX3SVWA/,2022.03.06
윤석열“여가부 폐지는 핵심 공약...공정한 사회 만들어 내겠다”,https://biz.chosun.com/policy/politics/election2022/2022/02/15/NR57T5GN5RFX3CUPTD5XFZL2EE/,2022.02.15
"윤석열, 광주서 “DJ, 지역감정 무인도 가져가고 싶다고…제겐 지역주의 없다”",https://biz.chosun.com/policy/politics/election2022/2022/02/16/W3APZEN74VFIFP2ZMPEC7ULQSY/,2022.02.16
사전투표 독려 나선윤석열“부정투표 걱정 말고 찍으세요”,https://www.chosun.com/politics/election2022/2022/02/28/63NCM4BD2NDUDG6DC67DPKKY2U/,2022.02.28
윤석열“탈원전하니 누가 우리 원전 사가나…중국 좋은 일 해”,https://biz.chosun.com/policy/politics/election2022/2022/02/19/EAWLIRJV55GLBII7RIHUVIQ2DA/,2022.02.19
"시장경제 지향 교수 1,000인 한국교수협의회,윤석열지지 선언 “한국경제 부흥 가져올 것”",http://news.chosun.com/pan/site/data/html_dir/2022/03/02/2022030201028.html,2022.03.02
윤석열46.5% 이재명 42.5… 尹이 오차범위 밖 우위[PNR],https://biz.chosun.com/policy/politics/election2022/2022/03/02/WIR5YVPAERFFFH7HRNLLQWH6PI/,2022.03.02
"진격의윤석열, 安단일화 후 “양식 있는 민주당 정치인과 협치”",https://biz.chosun.com/policy/politics/election2022/2022/03/03/EQNJQF27QJCKHCVQL46NVINZ5Y/,2022.03.03
[대선영상]윤석열” 충청·호남 잘 되는 게 영남도 대한민국도 잘 되는 것”,https://www.chosun.com/politics/election2022/2022/02/22/F2FLL4D2XNC3NP7FDAFJFIWH6U/,2022.02.22
윤석열“왜 광주에만 복합쇼핑몰 없나… 민주당이 반대해와”,https://www.chosun.com/politics/politics_general/2022/02/16/GZHO27WRMZBTHOBJS6KINLMPJY/,2022.02.16
"안철수, ‘윤석열만나냐’ 묻자 “경선을 하겠다면 모르죠”",https://biz.chosun.com/policy/politics/election2022/2022/02/25/WIWQL3QPZ5CDFEB7LFXO32EL7I/,2022.02.25
윤석열39.0% 이재명 38.3%… ‘安 단일화 철회’ 뒤 격차 줄어[한국갤럽],https://biz.chosun.com/policy/politics/election2022/2022/02/23/47KIHVMUOFDSFMYU27NAJMTFOY/,2022.02.23
